objectId,ra_deg,dec_deg,gmag,rmag,jd_first,jd_latest,sherlock_class,redshift_z,photo_z,photo_z_err,distance_modulus,separation_kpc,class_reliability,fetched_utc
ZTF18aaihqjg,184.77281527999997,27.296473759999998,,20.3344,2461009.0057176,2461030.0299421,SN,0.023,0.025,0.006,101.406,2.988,2,2026-03-24T12:32:39.811136+00:00
ZTF18aaihzzw,190.1941726,49.9658183,,19.5813,2460090.6774421,2460090.6774421,SN,0.03,0.04,0.01,116.4,0.8,2,2026-03-24T12:32:39.811136+00:00
ZTF18aaiiowr,188.4708889,41.9626353,,19.7919,2460058.7607292,2460058.7607292,SN,0.19,0.26,0.03,918.83,2.91,2,2026-03-24T12:32:39.811136+00:00
ZTF18aaiivec,230.6878126,29.770955175,20.0188,19.1014,2461058.9511921,2461076.9888079,SN,0.023,0.023,0.005,99.841,2.255,2,2026-03-24T12:32:39.811136+00:00
ZTF18aaiixyd,196.0599092,8.6801025,,18.7842,2461085.9106597,2461085.9106597,SN,0.177,0.0,0.0,856.284,31.986,2,2026-03-24T12:32:39.811136+00:00
ZTF18aaijamo,208.791105625,20.293427875,,19.959,2461031.0456481,2461061.0016551,SN,0.069,0.061,0.013,310.653,6.035,2,2026-03-24T12:32:39.811136+00:00
ZTF18aaijdeg,206.90703885,26.491779649999998,17.0574,,2460516.7809375,2460533.7186806,SN,0.017,0.0,0.0,74.353,6.886,2,2026-03-24T12:32:39.811136+00:00
ZTF18aaijgvy,196.1448024714286,57.18568495714286,20.5291,19.728,2461054.8838194,2461068.8245602,SN,0.111,0.066,0.014,515.898,10.15,2,2026-03-24T12:32:39.811136+00:00
ZTF18aaijqwd,223.0612589,41.4276974,19.8668,,2460665.0180671,2460665.0180671,SN,0.081,0.0,0.0,367.614,31.207,2,2026-03-24T12:32:39.811136+00:00
ZTF18aaijxhc,213.1220693,45.6909896,19.4419,,2460383.8887847,2460383.8887847,SN,0.027,0.03,0.006,118.638,15.878,2,2026-03-24T12:32:39.811136+00:00
ZTF18aaikcbb,226.42687923333332,60.795473066666666,20.4708,,2460798.895625,2460821.7827778,SN,0.044,0.045,0.007,196.192,7.241,2,2026-03-24T12:32:39.811136+00:00
ZTF18aaikjrp,230.67902455,29.7866433,,19.7165,2458572.9368171,2458575.9092824,SN,0.02,0.02,0.01,99.84,30.59,2,2026-03-24T12:32:39.811136+00:00
ZTF18aailslw,220.07077643333332,58.480989799999996,,19.8683,2459719.7829977,2459735.7604977,SN,0.16,0.14,0.02,778.94,5.28,2,2026-03-24T12:32:39.811136+00:00
ZTF18aaimecf,238.8806242026365,48.0315288466795,20.4752,,2458272.75,2458281.7680787,SN,0.02,,,85.01,16.52,2,2026-03-24T12:32:39.811136+00:00
ZTF18aaimlad,255.12215916666665,32.73330178333333,,20.3083,2460725.9903125,2460739.9667708,SN,0.037,0.03,0.007,162.127,1.626,2,2026-03-24T12:32:39.811136+00:00
ZTF18aaimmls,247.15561631999998,29.574791680000004,,19.4928,2460804.912419,2460832.933588,SN,0.218,0.203,0.009,1082.01,18.008,2,2026-03-24T12:32:39.811136+00:00
ZTF18aaimnui,239.346646308301,30.0735851124755,19.9258,,2458272.75,2458299.6917361,SN,0.03,0.03,0.01,144.12,51.48,2,2026-03-24T12:32:39.811136+00:00
ZTF18aainmvg,228.01198125000002,30.3515282,20.3709,,2458276.7593056,2458282.7863079,SN,0.07,,,330.98,48.92,2,2026-03-24T12:32:39.811136+00:00
ZTF18aaintau,247.34130935000002,29.597878950000002,,20.1735,2458311.6938426,2458694.7082755,SN,0.05,,,236.43,46.72,2,2026-03-24T12:32:39.811136+00:00
ZTF18aaiopyn,278.5970804328127,30.727592555029332,19.6163,19.401,2458273.0,2458284.8402778,SN,0.02,,,70.27,29.74,2,2026-03-24T12:32:39.811136+00:00
ZTF18aaipcve,238.83409822819,47.936749838444,20.1282,,2458272.75,2458278.8648611,SN,0.02,,,88.16,37.22,2,2026-03-24T12:32:39.811136+00:00
ZTF18aaipjps,209.3961241,38.76000705,,19.1036,2461016.0443287,2461031.0327431,SN,0.063,0.072,0.015,284.184,30.046,2,2026-03-24T12:32:39.811136+00:00
ZTF18aaipmfe,223.66041380000001,30.62581493333333,19.9804,20.2057,2458279.7565394,2458282.7863079,SN,0.05,,,228.16,38.34,2,2026-03-24T12:32:39.811136+00:00
ZTF18aaiqgyp,248.0467941333333,39.618602200000005,20.0921,,2458278.8482523,2458284.7556829,SN,0.03,,,117.67,30.71,2,2026-03-24T12:32:39.811136+00:00
ZTF18aaiqrlp,252.8325478,32.3669256,,20.394,2460173.6808218,2460173.6808218,SN,0.09,0.1,0.01,396.81,29.31,2,2026-03-24T12:32:39.811136+00:00
ZTF18aairaed,249.0408413,24.93031,,19.9,2460020.9644213,2460020.9644213,SN,0.15,0.13,0.03,689.69,30.65,2,2026-03-24T12:32:39.811136+00:00
ZTF18aairuad,177.9397760375,57.799466243750004,19.2888,19.3728,2461052.9101273,2461076.8888657,SN,0.065,0.067,0.013,290.243,5.87,2,2026-03-24T12:32:39.811136+00:00
ZTF18aaisaqo,184.19996259756098,30.366058556097563,19.1489,18.5114,2461049.9329514,2461076.8838657,SN,0.08,0.058,0.018,362.241,2.51,2,2026-03-24T12:32:39.811136+00:00
ZTF18aaisdiz,256.06720732,70.30407993,17.9796,18.3631,2459449.7197801,2459477.7210069,SN,0.03,0.0,0.0,113.92,38.74,2,2026-03-24T12:32:39.811136+00:00
ZTF18aaismlp,178.13172455,22.71136635,,20.0661,2459361.7167708,2459375.7161574,SN,0.02,0.0,0.0,104.39,43.52,2,2026-03-24T12:32:39.811136+00:00
ZTF18aaisucc,171.9475695,30.5501845,19.7929,,2460619.9854282,2460619.9854282,SN,0.059,0.066,0.013,264.997,1.759,2,2026-03-24T12:32:39.811136+00:00
ZTF18aaisufd,175.8805014,22.7251682,,20.4,2460411.7635417,2460411.7635417,SN,0.023,0.03,0.01,100.449,0.603,2,2026-03-24T12:32:39.811136+00:00
ZTF18aaisvtf,177.34774905,22.49049845,,20.141,2460409.6460532,2460411.7390046,SN,0.208,0.191,0.012,1023.54,5.442,2,2026-03-24T12:32:39.811136+00:00
ZTF18aaitbmb,181.05345536,50.14027608,,20.606,2461010.0375116,2461030.0409954,SN,0.034,0.036,0.011,148.584,9.211,2,2026-03-24T12:32:39.811136+00:00
